a10,id_lote_g6,g7_1,g10_1,g10_2,g10_3,g10_4,g10_5,g10_c_1,g10_c_2,g10_c_3,g10_c_4,g10_c_5,g9_1,g9_2,g9_3,g9_4,g9_5,g12_c_1,g12_c_2,g12_c_3,g12_c_4,g12_c_5,g12_u_1,g12_u_2,g12_u_3,g12_u_4,g12_u_5,g12_ua_1,g12_ua_2,g12_ua_3,g12_ua_4,g12_ua_5,g12_1_1,g12_1_2,g12_1_3,g12_1_4,g12_1_5,K2O_1,K2O_2,K2O_3,K2O_4,K2O_5,Ntotal_1,Ntotal_2,Ntotal_3,Ntotal_4,Ntotal_5,Namoniacal_1,Namoniacal_2,Namoniacal_3,Namoniacal_4,Namoniacal_5,Nnitrico_1,Nnitrico_2,Nnitrico_3,Nnitrico_4,Nnitrico_5,Nureico_1,Nureico_2,Nureico_3,Nureico_4,Nureico_5,P2O5_1,P2O5_2,P2O5_3,P2O5_4,P2O5_5,Tipo_Nivel_0_1,Tipo_Nivel_0_2,Tipo_Nivel_0_3,Tipo_Nivel_0_4,Tipo_Nivel_0_5,Tipo_Nivel_1_1,Tipo_Nivel_1_2,Tipo_Nivel_1_3,Tipo_Nivel_1_4,Tipo_Nivel_1_5,Tipo_Nivel_2_1,Tipo_Nivel_2_2,Tipo_Nivel_2_3,Tipo_Nivel_2_4,Tipo_Nivel_2_5,Tipo_Fertilizacion_1,Tipo_Fertilizacion_2,Tipo_Fertilizacion_3,Tipo_Fertilizacion_4,Tipo_Fertilizacion_5,Marca_1,Marca_2,Marca_3,Marca_4,Marca_5,row,cantidad_litros_ha_1,cantidad_litros_ha_2,cantidad_litros_ha_3,cantidad_litros_ha_4,cantidad_litros_ha_5,cantidad_kilos_ha_1,cantidad_kilos_ha_2,cantidad_kilos_ha_3,cantidad_kilos_ha_4,cantidad_kilos_ha_5,ax_2,a11,a12,a12a,a13,f4_1,f5_1,_merge
DS4001,1,1,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,200,,,,,la andina,Tolima,ESPINAL,,73268001,Fedearroz 67,1.5,Matched (3)
DS4001,1,2,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,200,,,,,la andina,Tolima,ESPINAL,,73268001,Fedearroz 67,1.5,Matched (3)
DS4001,1,3,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,3,,,,,,200,,,,,la andina,Tolima,ESPINAL,,73268001,Fedearroz 67,1.5,Matched (3)
DS4001,1,4,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,4,,,,,,200,,,,,la andina,Tolima,ESPINAL,,73268001,Fedearroz 67,1.5,Matched (3)
DS4001,1,5,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,5,,,,,,200,,,,,la andina,Tolima,ESPINAL,,73268001,Fedearroz 67,1.5,Matched (3)
DS4001,1,6,alto en nitrogeno para la foliada,,,,,Urea,,,,,1,,,,,1,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,6,,,,,,50,,,,,la andina,Tolima,ESPINAL,,73268001,Fedearroz 67,1.5,Matched (3)
DS4001,1,7,alto en nitrogeno para la foliada,,,,,Urea,,,,,1,,,,,1,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,7,,,,,,50,,,,,la andina,Tolima,ESPINAL,,73268001,Fedearroz 67,1.5,Matched (3)
DS4003,1,1,triple 18,,,,,Triple 18,,,,,1,,,,,3,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,150,,,,,villa stella,Tolima,ESPINAL,,73268017,Fedearroz 67,.75,Matched (3)
DS4003,1,2,sulfato de amonio,tripke 18,,,,Sulfato de Amonio,Triple 18,,,,1,2,,,,2,1,,,,Bultos,Bultos,,,,,,,,,50,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,2,,,,,,100,50,,,,villa stella,Tolima,ESPINAL,,73268017,Fedearroz 67,.75,Matched (3)
DS4003,1,3,face 3,,,,,(Nutrimon) Ecofertil fase 3,,,,,1,,,,,3,,,,,Bultos,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,150,,,,,villa stella,Tolima,ESPINAL,,73268017,Fedearroz 67,.75,Matched (3)
DS4003,1,4,amidas,cloruro de potasio,,,,YaraVera AMIDAS,KCl,,,,1,2,,,,2,1,,,,Bultos,Bultos,,,,,,,,,50,50,,,,0,,,,,40,,,,,5,,,,,0,,,,,35,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,YARA,,,,,4,,,,,,100,50,,,,villa stella,Tolima,ESPINAL,,73268017,Fedearroz 67,.75,Matched (3)
DS4003,1,5,nitrabon,,,,,Nitrabor,,,,,1,,,,,2,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,15.4,,,,,1.3,,,,,14.1,,,,,0,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,YARA,,,,,5,,,,,,100,,,,,villa stella,Tolima,ESPINAL,,73268017,Fedearroz 67,.75,Matched (3)
DS4003,1,6,azufre boro zinc,,,,,Borozinco,,,,,1,,,,,1,,,,,Litros,,,,,,,,,,,,,,,0,,,,,3.45,,,,,.83,,,,,2.28,,,,,.35,,,,,0,,,,,Fertilizante foliar,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion foliar,,,,,MICROFERTISA,,,,,6,1,,,,,,,,,,villa stella,Tolima,ESPINAL,,73268017,Fedearroz 67,.75,Matched (3)
DS4004,1,1,tripke 18,sukfato,,,,Triple 18,Sulfato de Amonio,,,,1,2,,,,4,2.5,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,200,125,,,,montalvito 1,Tolima,ESPINAL,,73268020,Cálida ,1.15,Matched (3)
DS4004,1,2,sulfato de amonio,urea,,,,Sulfato de Amonio,Urea,,,,1,2,,,,4,4,,,,Bultos,Bultos,,,,,,,,,50,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,2,,,,,,200,200,,,,montalvito 1,Tolima,ESPINAL,,73268020,Cálida ,1.15,Matched (3)
DS4004,1,3,sulfato de amonio,kcl,,,,Sulfato de Amonio,KCl,,,,1,2,,,,2,2,,,,Bultos,Bultos,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,100,100,,,,montalvito 1,Tolima,ESPINAL,,73268020,Cálida ,1.15,Matched (3)
DS4004,1,4,urea,,,,,Urea,,,,,1,,,,,3,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,4,,,,,,150,,,,,montalvito 1,Tolima,ESPINAL,,73268020,Cálida ,1.15,Matched (3)
DS4005,1,1,nitroesten,tripke 18,sulfato de amonio,,,NITRO XTEND® 46 N,Triple 18,Sulfato de Amonio,,,1,2,3,,,2,50,50,,,Bultos,Kilos,Kilos,,,,,,,,50,,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,1,,,,,,100,50,50,,,los guasimos,Tolima,GUAMO,,73319023,Fedearroz 2020,18,Matched (3)
DS4005,1,2,tripke 18,nitroesten,kcl,,,Triple 18,NITRO XTEND® 46 N,KCl,,,1,2,3,,,50,50,50,,,Kilos,Kilos,Kilos,,,,,,,,,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,50,50,50,,,los guasimos,Tolima,GUAMO,,73319023,Fedearroz 2020,18,Matched (3)
DS4005,1,3,ciclo 3,,,,,(Nutrimon) Ecofertil fase 3,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,200,,,,,los guasimos,Tolima,GUAMO,,73319023,Fedearroz 2020,18,Matched (3)
DS4005,1,4,sukfato,kcl,,,,Sulfato de Amonio,KCl,,,,1,2,,,,2,2,,,,Bultos,Bultos,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,100,100,,,,los guasimos,Tolima,GUAMO,,73319023,Fedearroz 2020,18,Matched (3)
DS4006,1,1,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,200,,,,,recreo,Tolima,ESPINAL,,73268005,Fedearroz 67,5.7,Matched (3)
DS4006,1,2,sulfato de amonio,nitro estem,,,,Sulfato de Amonio,NITRO XTEND® 46 N,,,,1,2,,,,120,20,,,,Kilos,Kilos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,120,20,,,,recreo,Tolima,ESPINAL,,73268005,Fedearroz 67,5.7,Matched (3)
DS4006,1,3,sulfato de zing,patoencal,,,,Sulfato de Zinc,PATENKALI,,,,1,2,,,,20,10,,,,Kilos,Kilos,,,,,,,,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,MICROFERTISA,,,,,3,,,,,,20,10,,,,recreo,Tolima,ESPINAL,,73268005,Fedearroz 67,5.7,Matched (3)
DS4006,1,4,ferticol,,,,,FertiCROP,,,,,1,,,,,1,,,,,Litros,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,recreo,Tolima,ESPINAL,,73268005,Fedearroz 67,5.7,Matched (3)
DS4009,1,1,uria,elementos menores,elementos menores,,,Urea,Fertilizante menores,Fertilizante menores,,,1,2,3,,,3,1,1,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,0,0,0,,,46,0,0,,,0,0,0,,,0,0,0,,,46,0,0,,,0,3,3,,,Fertilizante edafico,Fertilizante edafico,Fertilizante edafico,,,Fertilizante quimico,Fertilizante quimico,Fertilizante quimico,,,Fertilizante quimico,Fertilizante quimico,Fertilizante quimico,,,Fertilizacion edafica,Fertilizacion edafica,Fertilizacion edafica,,,NUTRIMON,ARROCERO,ARROCERO,,,1,,,,,,150,50,50,,,la ceiba 1,Tolima,ESPINAL,,73268024,Fedearroz 67,4.5,Matched (3)
DS4009,1,2,uria,sulfato,,,,Urea,Sulfato de Amonio,,,,1,2,,,,3,1,,,,Bultos,Bultos,,,,,,,,,50,50,,,,0,,,,,46,,,,,0,,,,,0,,,,,46,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,150,50,,,,la ceiba 1,Tolima,ESPINAL,,73268024,Fedearroz 67,4.5,Matched (3)
DS4009,1,3,kcl,sulfato,kcl,sulfato de amonio,,KCl,Sulfato de Amonio,KCl,Sulfato de Amonio,,1,2,3,4,,2,2,2,1,,Bultos,Bultos,Bultos,Bultos,,,,,,,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,100,100,100,50,,la ceiba 1,Tolima,ESPINAL,,73268024,Fedearroz 67,4.5,Matched (3)
DS4009,1,4,elementos menores,kcl,sulfato de amonio,,,Fertilizante menores,KCl,Sulfato de Amonio,,,1,2,3,,,2,2,1,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,ARROCERO,,,,,4,,,,,,100,100,50,,,la ceiba 1,Tolima,ESPINAL,,73268024,Fedearroz 67,4.5,Matched (3)
DS4009,1,5,elementos menores,potasio,sulfato,,,Fertilizante menores,PotaZinc,Sulfato de Amonio,,,1,2,3,,,2,1,1,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,ARROCERO,,,,,5,,,,,,100,50,50,,,la ceiba 1,Tolima,ESPINAL,,73268024,Fedearroz 67,4.5,Matched (3)
DS4010,1,1,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,200,,,,,los mangos,Tolima,ESPINAL,,73268026,Fedearroz 67,32,Matched (3)
DS4010,1,2,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,200,,,,,los mangos,Tolima,ESPINAL,,73268026,Fedearroz 67,32,Matched (3)
DS4010,1,3,etapa tres,,,,,(Nutrimon) Ecofertil fase 3,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,200,,,,,los mangos,Tolima,ESPINAL,,73268026,Fedearroz 67,32,Matched (3)
DS4010,1,4,nitroext,etapa 3,,,,NITRO XTEND® 46 N,(Nutrimon) Ecofertil fase 3,,,,1,2,,,,1.5,1.5,,,,Bultos,Bultos,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,75,75,,,,los mangos,Tolima,ESPINAL,,73268026,Fedearroz 67,32,Matched (3)
DS4010,1,5,nitrato de potasio,,,,,Krista KP,,,,,1,,,,,2,,,,,Kilos,,,,,,,,,,,,,,,43,,,,,13.5,,,,,.6,,,,,13,,,,,0,,,,,3,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,YARA,,,,,5,,,,,,2,,,,,los mangos,Tolima,ESPINAL,,73268026,Fedearroz 67,32,Matched (3)
DS4010,1,6,firmador 2000,,,,,Formador 2000,,,,,1,,,,,1,,,,,Litros,,,,,,,,,,,,,,,10.71,,,,,5.14,,,,,1,,,,,3.07,,,,,1.07,,,,,14.29,,,,,Fertilizante foliar,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion foliar,,,,,HALCON COLOMBIA,,,,,6,1,,,,,,,,,,los mangos,Tolima,ESPINAL,,73268026,Fedearroz 67,32,Matched (3)
DS4012,1,1,tripke 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,200,,,,,el recuerdo,Tolima,GUAMO,,73319024,Fedearroz 2020,7,Matched (3)
DS4012,1,2,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,200,,,,,el recuerdo,Tolima,GUAMO,,73319024,Fedearroz 2020,7,Matched (3)
DS4012,1,3,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,3,,,,,,200,,,,,el recuerdo,Tolima,GUAMO,,73319024,Fedearroz 2020,7,Matched (3)
DS4012,1,4,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,4,,,,,,200,,,,,el recuerdo,Tolima,GUAMO,,73319024,Fedearroz 2020,7,Matched (3)
DS4014,1,1,triple 18,,,,,Triple 18,,,,,1,2,,,,4,2,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,200,100,,,,el condor,Tolima,GUAMO,,73319042,Fedearroz 67,1,Matched (3)
DS4014,1,2,triple 18,,,,,Triple 18,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,200,,,,,el condor,Tolima,GUAMO,,73319042,Fedearroz 67,1,Matched (3)
DS4014,1,3,fase tres,triple 18,triple 18,,,(Nutrimon) Ecofertil fase 3,Triple 18,Triple 18,,,1,2,3,,,4,1,4,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,,18,18,,,,18,18,,,,7,7,,,,0,0,,,,11,11,,,,18,18,,,,Fertilizante edafico,Fertilizante edafico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizacion edafica,Fertilizacion edafica,,,,NUTRIMON,NUTRIMON,,,3,,,,,,200,50,200,,,el condor,Tolima,GUAMO,,73319042,Fedearroz 67,1,Matched (3)
DS4014,1,4,fase 3,triple 18,triple18,,,(Nutrimon) Ecofertil fase 3,Triple 18,Triple 18,,,1,2,3,,,4,,1,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,,18,18,,,,18,18,,,,7,7,,,,0,0,,,,11,11,,,,18,18,,,,Fertilizante edafico,Fertilizante edafico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizacion edafica,Fertilizacion edafica,,,,NUTRIMON,NUTRIMON,,,4,,,,,,200,,50,,,el condor,Tolima,GUAMO,,73319042,Fedearroz 67,1,Matched (3)
DS4015,1,1,sulfato,triple 18,,,,Sulfato de Amonio,Triple 18,,,,1,2,,,,8,8,,,,Bultos,Bultos,,,,,,,,,50,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,1,,,,,,400,400,,,,la palmita,Tolima,GUAMO,,73319037,Fedearroz 67,1,Matched (3)
DS4015,1,2,tripe 18,sulfato,,,,Triple 18,Sulfato de Amonio,,,,1,2,,,,8,8,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,400,400,,,,la palmita,Tolima,GUAMO,,73319037,Fedearroz 67,1,Matched (3)
DS4015,1,3,triple 18,sulfato,,,,Triple 18,Sulfato de Amonio,,,,1,2,,,,8,8,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,3,,,,,,400,400,,,,la palmita,Tolima,GUAMO,,73319037,Fedearroz 67,1,Matched (3)
DS4015,1,4,triple 18,sulfato,,,,Triple 18,Sulfato de Amonio,,,,1,2,,,,8,8,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,4,,,,,,400,400,,,,la palmita,Tolima,GUAMO,,73319037,Fedearroz 67,1,Matched (3)
DS4016,1,1,triple 18,,,,,Triple 18,,,,,1,,,,,2,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,1,,,,,,100,,,,,el mango,Tolima,GUAMO,,73319042,Fedearroz 2020,1,Matched (3)
DS4016,1,2,triple 18,,,,,Triple 18,,,,,1,,,,,2,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,100,,,,,el mango,Tolima,GUAMO,,73319042,Fedearroz 2020,1,Matched (3)
DS4016,1,3,amidas,,,,,YaraVera AMIDAS,,,,,1,,,,,2,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,40,,,,,5,,,,,0,,,,,35,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,YARA,,,,,3,,,,,,100,,,,,el mango,Tolima,GUAMO,,73319042,Fedearroz 2020,1,Matched (3)
DS4016,1,4,amidas,,,,,YaraVera AMIDAS,,,,,1,,,,,2,,,,,Bultos,,,,,,,,,,50,,,,,0,,,,,40,,,,,5,,,,,0,,,,,35,,,,,0,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,YARA,,,,,4,,,,,,100,,,,,el mango,Tolima,GUAMO,,73319042,Fedearroz 2020,1,Matched (3)
DS4017,1,1,triple 18,sulfato,patoencali,,,Triple 18,Sulfato de Amonio,Patentkali,,,1,2,3,,,2,2,2,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,18,,30,,,18,,0,,,7,,0,,,0,,0,,,11,,0,,,18,,0,,,Fertilizante edafico,,Fertilizante edafico,,,Fertilizante quimico,,Fertilizante quimico,,,Fertilizante quimico,,Fertilizante quimico,,,Fertilizacion edafica,,Fertilizacion edafica,,,NUTRIMON,,DISAN,,,1,,,,,,100,100,100,,,el porvenir,Tolima,ESPINAL,,73268015,Fedearroz 2020,5,Matched (3)
DS4017,1,2,sulfato,triple 18,,,,Sulfato de Amonio,Triple 18,,,,1,2,,,,2,2,,,,Bultos,Bultos,,,,,,,,,50,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,2,,,,,,100,100,,,,el porvenir,Tolima,ESPINAL,,73268015,Fedearroz 2020,5,Matched (3)
DS4017,1,3,kcl,sulfato,active 3,,,KCl,Sulfato de Amonio,Balance Mix - Active 3,,,1,2,3,,,2,2,1,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,100,100,50,,,el porvenir,Tolima,ESPINAL,,73268015,Fedearroz 2020,5,Matched (3)
DS4017,1,4,pormenores,sulfacin,triple 18,,,Fertilizante menores,SULFACID LCN,Triple 18,,,1,2,3,,,2,2,2,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,0,,18,,,0,,18,,,0,,7,,,0,,0,,,0,,11,,,3,,18,,,Fertilizante edafico,,Fertilizante edafico,,,Fertilizante quimico,,Fertilizante quimico,,,Fertilizante quimico,,Fertilizante quimico,,,Fertilizacion edafica,,Fertilizacion edafica,,,ARROCERO,,NUTRIMON,,,4,,,,,,100,100,100,,,el porvenir,Tolima,ESPINAL,,73268015,Fedearroz 2020,5,Matched (3)
