a10,id_lote_g6,g7_1,g10_1,g10_2,g10_3,g10_4,g10_5,g10_c_1,g10_c_2,g10_c_3,g10_c_4,g10_c_5,g9_1,g9_2,g9_3,g9_4,g9_5,g12_c_1,g12_c_2,g12_c_3,g12_c_4,g12_c_5,g12_u_1,g12_u_2,g12_u_3,g12_u_4,g12_u_5,g12_ua_1,g12_ua_2,g12_ua_3,g12_ua_4,g12_ua_5,g12_1_1,g12_1_2,g12_1_3,g12_1_4,g12_1_5,K2O_1,K2O_2,K2O_3,K2O_4,K2O_5,Ntotal_1,Ntotal_2,Ntotal_3,Ntotal_4,Ntotal_5,Namoniacal_1,Namoniacal_2,Namoniacal_3,Namoniacal_4,Namoniacal_5,Nnitrico_1,Nnitrico_2,Nnitrico_3,Nnitrico_4,Nnitrico_5,Nureico_1,Nureico_2,Nureico_3,Nureico_4,Nureico_5,P2O5_1,P2O5_2,P2O5_3,P2O5_4,P2O5_5,Tipo_Nivel_0_1,Tipo_Nivel_0_2,Tipo_Nivel_0_3,Tipo_Nivel_0_4,Tipo_Nivel_0_5,Tipo_Nivel_1_1,Tipo_Nivel_1_2,Tipo_Nivel_1_3,Tipo_Nivel_1_4,Tipo_Nivel_1_5,Tipo_Nivel_2_1,Tipo_Nivel_2_2,Tipo_Nivel_2_3,Tipo_Nivel_2_4,Tipo_Nivel_2_5,Tipo_Fertilizacion_1,Tipo_Fertilizacion_2,Tipo_Fertilizacion_3,Tipo_Fertilizacion_4,Tipo_Fertilizacion_5,Marca_1,Marca_2,Marca_3,Marca_4,Marca_5,row,cantidad_litros_ha_1,cantidad_litros_ha_2,cantidad_litros_ha_3,cantidad_litros_ha_4,cantidad_litros_ha_5,cantidad_kilos_ha_1,cantidad_kilos_ha_2,cantidad_kilos_ha_3,cantidad_kilos_ha_4,cantidad_kilos_ha_5,ax_2,a11,a12,a12a,a13,f4_1,f5_1,_merge
MR9034,1,2,181818,nitroxtend,,,,Triple 18,NITRO XTEND® 46 N,,,,1,2,,,,3,1,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,2,,,,,,150,50,,,,Parcela 49,Tolima,SALDAÑA,,99,Fedearroz ibis,1,Matched (3)
MR9034,1,3,181818,fase 3,,,,Triple 18,(Nutrimon) Ecofertil fase 3,,,,1,2,,,,3,1,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,3,,,,,,150,50,,,,Parcela 49,Tolima,SALDAÑA,,99,Fedearroz ibis,1,Matched (3)
MR9034,1,4,181818,,,,,Triple 18,,,,,1,,,,,3,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,4,,,,,,150,,,,,Parcela 49,Tolima,SALDAÑA,,99,Fedearroz ibis,1,Matched (3)
MR9035,1,1,181818,urea,urea,,,Triple 18,Urea,Urea,,,1,2,3,,,3,1,1,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,18,0,0,,,18,46,46,,,7,0,0,,,0,0,0,,,11,46,46,,,18,0,0,,,Fertilizante edafico,Fertilizante edafico,Fertilizante edafico,,,Fertilizante quimico,Fertilizante quimico,Fertilizante quimico,,,Fertilizante quimico,Fertilizante quimico,Fertilizante quimico,,,Fertilizacion edafica,Fertilizacion edafica,Fertilizacion edafica,,,NUTRIMON,NUTRIMON,NUTRIMON,,,1,,,,,,150,50,50,,,El espejo,Tolima,SALDAÑA,,73671011,Fedearroz 67,2.5,Matched (3)
MR9035,1,2,181818,urea,,,,Triple 18,Urea,,,,1,2,,,,3,1,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,0,,,,18,46,,,,7,0,,,,0,0,,,,11,46,,,,18,0,,,,Fertilizante edafico,Fertilizante edafico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizacion edafica,Fertilizacion edafica,,,,NUTRIMON,NUTRIMON,,,,2,,,,,,150,50,,,,El espejo,Tolima,SALDAÑA,,73671011,Fedearroz 67,2.5,Matched (3)
MR9035,1,3,18 18 18,sulfato,18 18 18,,,Triple 18,Sulfato de Amonio,Triple 18,,,1,2,3,,,2,2,2,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,18,,18,,,18,,18,,,7,,7,,,0,,0,,,11,,11,,,18,,18,,,Fertilizante edafico,,Fertilizante edafico,,,Fertilizante quimico,,Fertilizante quimico,,,Fertilizante quimico,,Fertilizante quimico,,,Fertilizacion edafica,,Fertilizacion edafica,,,NUTRIMON,,NUTRIMON,,,3,,,,,,100,100,100,,,El espejo,Tolima,SALDAÑA,,73671011,Fedearroz 67,2.5,Matched (3)
MR9035,1,4,181818,,,,,Triple 18,,,,,1,,,,,2,,,,,Bultos,,,,,,,,,,50,,,,,18,,,,,18,,,,,7,,,,,0,,,,,11,,,,,18,,,,,Fertilizante edafico,,,,,Fertilizante quimico,,,,,Fertilizante quimico,,,,,Fertilizacion edafica,,,,,NUTRIMON,,,,,4,,,,,,100,,,,,El espejo,Tolima,SALDAÑA,,73671011,Fedearroz 67,2.5,Matched (3)
MR9036,1,1,181818,urea,,,,Triple 18,Urea,,,,1,2,,,,3,1,,,,Bultos,Bultos,,,,,,,,,50,50,,,,18,0,,,,18,46,,,,7,0,,,,0,0,,,,11,46,,,,18,0,,,,Fertilizante edafico,Fertilizante edafico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizante quimico,Fertilizante quimico,,,,Fertilizacion edafica,Fertilizacion edafica,,,,NUTRIMON,NUTRIMON,,,,1,,,,,,150,50,,,,Buenavista,Tolima,PURIFICACIÓN,,73585043,Fedearroz ibis,29,Matched (3)
MR9036,1,2,nutriumid,potasio,urea,,,Nutri-Humic,PotaZinc,Urea,,,1,2,3,,,1,2,1,,,Bultos,Bultos,Bultos,,,,,,,,50,50,50,,,2.64,,0,,,2.32,,46,,,.24,,0,,,1.34,,0,,,0,,46,,,2.28,,0,,,Fertilizante edafico,,Fertilizante edafico,,,Fertilizante organico,,Fertilizante quimico,,,Compost,,Fertilizante quimico,,,Fertilizacion edafica,,Fertilizacion edafica,,,PBA,,NUTRIMON,,,2,,,,,,50,100,50,,,Buenavista,Tolima,PURIFICACIÓN,,73585043,Fedearroz ibis,29,Matched (3)
MR9036,1,3,potasio,,,,,PotaZinc,,,,,1,,,,,4,,,,,Bultos,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,200,,,,,Buenavista,Tolima,PURIFICACIÓN,,73585043,Fedearroz ibis,29,Matched (3)
