,ID,DDE,Apli_Event,Index,Sow_Area,ModNamProd,Fert_Quant,Unit,Other_uni,Equiv_uni,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,Fert,Fert_type,Fert_type2,Qtity_L_ha,Qtity_Kl_ha,Location_1,Location_2,Variety,,,
262,DS4037,45,2,3,5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
263,DS4037,60,3,1,5,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
264,DS4037,60,3,2,5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
265,DS4037,60,3,3,5,Produmag,1,5,NA,50,25,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
269,DS4038,13,1,2,14,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,8,,,
270,DS4038,13,1,3,14,Quimifos 3-3-3,1,5,NA,50,3,3,1,0,2,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,8,,,
272,DS4038,30,2,2,14,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,8,,,
283,DS4040,20,1,2,11,Fosforo,1,5,NA,50,0,0,0,0,0,26,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,13,,,
284,DS4040,20,1,3,11,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,13,,,
286,DS4040,35,2,2,11,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,13,,,
287,DS4040,35,2,3,11,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,13,,,
299,DS4041,55,3,3,4,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,5,,,
302,DS4041,70,4,3,4,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,5,,,
306,DS4042,12,1,3,6,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
308,DS4042,27,2,3,6,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
313,DS4044,12,1,3,17,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
315,DS4044,40,3,1,17,Fosforo,1,5,NA,50,0,0,0,0,0,26,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
316,DS4044,40,3,2,17,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
317,DS4044,40,3,3,17,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
318,DS4044,55,4,1,17,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
321,DS4045,20,1,2,7.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
322,DS4045,20,1,3,7.5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
324,DS4045,35,2,2,7.5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
325,DS4045,35,2,3,7.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
328,DS4045,50,3,3,7.5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
332,DS4045,80,5,1,7.5,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,1,,,
334,DS4046,12,1,1,8.5,Fosforo,1,5,NA,50,0,0,0,0,0,26,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,8,,,
338,DS4046,27,2,2,8.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,8,,,
339,DS4046,27,2,3,8.5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,8,,,
340,DS4046,40,3,1,8.5,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,8,,,
341,DS4046,40,3,2,8.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,8,,,
342,DS4046,40,3,3,8.5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,8,,,
344,DS4046,55,4,2,8.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,8,,,
346,DS4046,70,5,1,8.5,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,8,,,
348,DS4047,20,2,2,5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
349,DS4047,20,2,3,5,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
351,DS4047,40,3,2,5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
353,DS4047,55,4,1,5,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
354,DS4047,55,4,2,5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
355,DS4047,55,4,3,5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
357,DS4047,70,5,1,5,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
358,DS4047,70,5,2,5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
359,DS4047,70,5,3,5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,7,,,
365,DS4048,45,3,2,7,Potazinc,1,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,16,,,
366,DS4048,60,4,1,7,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,16,,,
367,DS4048,60,4,2,7,Potazinc,1,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,16,,,
368,DS4048,60,4,3,7,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,16,,,
369,DS4048,75,5,1,7,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,2,16,,,
376,DS4050,12,1,1,6,YaraMila RAFOS,1,5,NA,50,12,12,8.88,3.2,0,24,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,12,,,
378,DS4050,12,1,3,6,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,12,,,
380,DS4050,28,2,2,6,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,12,,,
381,DS4050,28,2,3,6,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,12,,,
383,DS4050,40,3,2,6,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,12,,,
387,DS4051,10,1,2,8,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,3,1,,,
403,DS4053,50,3,2,4,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
404,DS4053,50,3,3,4,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
406,DS4053,65,4,2,4,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
409,DS4054,12,1,2,6,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
410,DS4054,12,1,3,6,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
412,DS4054,24,2,2,6,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
413,DS4054,24,2,3,6,Fertilizante menores,1,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
417,DS4054,48,4,1,6,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
418,DS4054,60,5,1,6,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,15,1,,,
419,DS4055,10,1,1,10,DAP 18-46-0,1,5,NA,50,0,18,18,0,0,46,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,4,,,
420,DS4055,10,1,2,10,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,4,,,
421,DS4055,10,1,3,10,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,4,,,
426,DS4055,37,3,2,10,Patentkali,1,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,4,,,
427,DS4055,37,3,3,10,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,4,,,
430,DS4056,12,1,2,2.5,Fertilizante menores,1,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,1,1,,,
435,DS4056,45,3,2,2.5,Patentkali,1,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,1,1,,,
436,DS4056,45,3,3,2.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,1,1,,,
437,DS4056,45,3,4,2.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,1,1,,,
439,DS4056,60,4,2,2.5,Patentkali,1,5,NA,50,30,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,1,1,,,
440,DS4056,75,5,1,2.5,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,1,1,,,
441,DS4056,75,5,2,2.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,1,1,,,
445,DS4057,37,3,2,1,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,5,,,
446,DS4057,47,4,1,1,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,5,,,
447,DS4057,47,4,2,1,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,5,,,
448,DS4057,50,5,1,1,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,5,,,
452,DS4058,12,1,2,10,Siliphos Balance,1,5,NA,50,0,0,0,0,0,12,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
454,DS4058,12,1,4,10,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
457,DS4058,24,2,3,10,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
458,DS4058,24,2,4,10,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
461,DS4058,45,3,2,10,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
462,DS4058,45,3,3,10,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
463,DS4058,60,4,1,10,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
464,DS4058,60,4,2,10,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,10,1,,,
481,ES1002,50,3,2,2,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
482,ES1002,80,4,1,2,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
483,ES1002,80,4,2,2,Potazinc,1,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
489,ES1005,10,1,1,11,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,3,,,
492,ES1005,20,2,3,11,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,3,,,
493,ES1005,20,2,4,11,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,3,,,
494,ES1005,30,3,1,11,Fertilizante menores,1,5,NA,50,0,0,0,0,0,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,3,,,
495,ES1005,30,3,2,11,Potazinc,1,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,3,,,
496,ES1005,30,3,3,11,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,3,,,
498,ES1005,45,4,2,11,Potazinc,1,5,NA,50,3,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,3,,,
499,ES1005,45,4,3,11,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,3,,,
500,ES1006,12,1,1,5,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
501,ES1006,12,1,2,5,YaraVera AMIDAS,1,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
502,ES1006,12,1,3,5,Ecofertil Fase 3,1,5,NA,50,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
503,ES1006,12,1,4,5,Nitro Xtend S,1,5,NA,50,0,40,0,0,40,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
504,ES1006,12,1,5,5,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
505,ES1006,20,2,1,5,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
506,ES1006,20,2,2,5,YaraVera AMIDAS,1,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
507,ES1006,20,2,3,5,Ecofertil Fase 3,1,5,NA,50,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
508,ES1006,20,2,4,5,Nitrabor,1,5,NA,50,0,15.4,1.3,14.1,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,2,,,
509,ES1007,15,1,1,6,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
510,ES1007,15,1,2,6,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
511,ES1007,15,1,3,6,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
513,ES1007,30,2,2,6,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
515,ES1007,48,3,2,6,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
516,ES1007,60,4,1,6,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
522,ES1010,45,3,2,9,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,7,,,
528,ES1011,53,4,2,3.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
530,ES1012,13,2,2,3.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,18,,,
533,ES1012,30,4,1,3.5,Nitro Xtend XP 46N,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,18,,,
536,ES1013,16,2,1,0.5,Triple 18,2,5,NA,25,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
537,ES1013,16,2,2,0.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
540,ES1013,30,1,2,0.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
541,ES1013,30,1,3,0.5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
543,ES1014,12,1,1,1.25,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,5,,,
546,ES1014,24,2,2,1.25,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,5,,,
547,ES1014,24,2,3,1.25,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,5,,,
548,ES1014,35,3,1,1.25,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,5,,,
551,ES1014,45,4,2,1.25,Triple 15,1,5,NA,50,15,15,10.3,4.7,0,15,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,5,,,
560,ES1016,43,3,2,5,Triple 15,1,5,NA,50,15,15,10.3,4.7,0,15,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,1,,,
561,ES1016,43,3,3,5,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,1,,,
562,ES1016,54,4,1,5,Ecofertil Fase 3,1,5,NA,50,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,1,,,
563,ES1016,54,4,2,5,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,1,,,
566,ES1017,30,1,2,1,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,1,,,
567,ES1017,30,1,3,1,Nitro Xtend XP 46N,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,1,,,
576,ES1019,35,2,1,1,Ecofertil Fase 3,1,5,NA,50,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,16,,,
591,ES1022,30,1,2,17,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
612,ES1024,40,3,3,10,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,5,1,,,
621,ES1026,60,3,2,1.25,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,7,,,
622,ES1026,60,3,3,1.25,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,7,,,
626,ES1027,25,1,2,1.25,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,8,1,,,
627,ES1027,25,1,3,1.25,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,8,1,,,
628,ES1027,37,2,2,1.25,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,8,1,,,
630,ES1027,49,3,2,1.25,Urea,1,5,NA,50,0,46,0,0,46,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,8,1,,,
632,ES1027,61,4,2,1.25,YaraVera AMIDAS,1,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,8,1,,,
636,ES1028,42,3,2,3,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,7,,,
638,ES1028,60,4,2,3,Cloruro de Potasio,1,5,NA,50,60,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,7,,,
646,ES1030,23,2,2,3,Sulfato de amonio 21-0-0-24,1,5,NA,50,0,21,21,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,3,,,
650,ES1031,28,2,1,1.5,YaraVera AMIDAS,1,5,NA,50,0,40,5,0,35,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,7,1,,,
659,ES1032,20,2,2,18,Desarrollo,1,5,NA,50,5,30,8,0,22,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,11,1,,,
661,ES1032,30,3,2,18,Desarrollo,1,5,NA,50,5,30,8,0,22,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,11,1,,,
663,ES1032,40,4,2,18,Desarrollo,1,5,NA,50,5,30,8,0,22,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,11,1,,,
665,ES1032,50,5,2,18,Desarrollo,1,5,NA,50,5,30,8,0,22,3,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,11,1,,,
668,ES1033,30,1,3,5,Triple 18,1,5,NA,50,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,50,1,9,1,,,
