,ID,DDE,Apli_Event,Index,Sow_Area,ModNamProd,Fert_Quant,Unit,Other_uni,Equiv_uni,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,Fert,Fert_type,Fert_type2,Qtity_L_ha,Qtity_Kl_ha,Location_1,Location_2,Variety,,,
2479,RS3035,45,2,2,2.5,carklin,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,,,
2483,RS3035,80,4,2,2.5,karklim,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,,,
2591,RS3046,100,5,4,1.5,CosmoQuel Boro,1,1,NA,NA,0,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,1,1,10,10,,,
2608,RS3047,55,5,4,5,Fosfacel-800,1,1,NA,NA,0,0,0,0,0,55.5,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,1,1,2,12,,,
2609,RS3047,55,5,5,5,Cosmocel 20-30-10,1,1,NA,NA,10,20,8.8,3,8.2,30,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,1,1,2,12,,,
2642,RS3050,75,5,2,9,Cosmocel 20-30-10,1,1,NA,NA,10,20,8.8,3,8.2,30,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,1,1,2,3,,,
2659,RS3052,15,1,2,8,Triple 18,1,1,NA,NA,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,1,1,2,8,,,
2671,RS3052,70,5,2,8,MF Crecer 500,1,1,NA,NA,3,42,0.4,0,41.6,3,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,1,1,2,8,,,
2673,RS3052,80,6,2,8,MF Crecer 500,1,1,NA,NA,3,42,0.4,0,41.6,3,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,1,1,2,8,,,
2692,RS3055,65,4,3,6,K-Mag,1,1,NA,NA,24,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,1,1,10,1,,,
2789,RS3064,40,6,3,7,MF B-Timin AG,1,1,NA,NA,25,25,0,1,24,4,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,1,1,10,3,,,
1385,LG8018,15,1,1,4,Raizal 400,1.5,1,NA,NA,11,9,0,0,0,45,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,1.5,1,13,1,,,
1387,LG8018,30,2,1,4,Raizal 400,1.5,1,NA,NA,11,9,0,0,0,45,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,1.5,1,13,1,,,
