,ID,Fert_event,Triple 18,Urea,Sulfato de Amonio,Ecofertil fase 3,Cloruro de Potasio,YaraVera AMIDAS,NITRO XTENDÂ® 46 N,Patentkali,Fertilizantes menores,Nutrimon,DAP 18-46-0
77,DS4023,1,150,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,DS4023,2,150,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,DS4023,3,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA
80,DS4023,4,NA,100,100,NA,NA,NA,NA,NA,NA,NA,NA
81,DS4023,5,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,DS4024,2,NA,NA,NA,NA,NA,NA,NA,NA,50,50,NA
83,DS4024,3,50,NA,NA,NA,NA,NA,125,NA,NA,NA,NA
84,DS4024,5,NA,130,NA,NA,NA,NA,100,NA,NA,NA,NA
85,DS4025,1,200,NA,NA,NA,NA,NA,150,NA,NA,NA,NA
86,DS4025,2,200,NA,NA,NA,NA,NA,200,NA,NA,NA,NA
87,DS4025,3,NA,NA,200,NA,200,NA,NA,NA,NA,NA,NA
88,DS4025,4,NA,200,200,NA,200,NA,NA,NA,NA,NA,NA
89,DS4025,5,NA,NA,200,NA,200,NA,NA,NA,NA,NA,NA
90,DS4026,1,NA,50,50,NA,NA,NA,NA,NA,25,NA,NA
91,DS4026,2,NA,100,50,NA,25,NA,NA,NA,25,NA,NA
92,DS4026,3,NA,100,25,NA,50,NA,NA,NA,NA,NA,NA
93,DS4026,4,NA,75,25,NA,NA,NA,NA,50,NA,NA,NA
94,DS4026,5,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,DS4027,1,NA,170,NA,NA,75,NA,NA,25,NA,NA,100
96,DS4027,2,NA,200,NA,NA,50,NA,NA,25,NA,NA,NA
97,DS4027,3,NA,100,NA,NA,25,NA,NA,25,NA,NA,NA
98,DS4027,4,NA,100,NA,NA,50,NA,NA,NA,NA,NA,NA
99,DS4028,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,DS4028,2,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA
101,DS4028,3,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA
102,DS4028,4,NA,NA,NA,150,NA,NA,50,NA,NA,NA,NA
103,DS4029,1,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,DS4029,2,NA,75,50,NA,50,NA,NA,NA,NA,NA,NA
105,DS4029,3,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
106,DS4029,4,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA
107,DS4030,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,DS4030,2,100,NA,200,NA,NA,NA,NA,NA,NA,NA,NA
109,DS4030,3,150,NA,NA,NA,50,NA,NA,NA,NA,NA,NA
110,DS4030,4,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA
111,DS4031,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,DS4031,2,100,50,NA,NA,50,NA,NA,NA,NA,NA,NA
113,DS4031,3,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
114,DS4031,4,NA,NA,NA,NA,NA,100,NA,50,NA,NA,NA
115,DS4032,1,200,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,DS4032,2,NA,150,100,NA,100,NA,NA,NA,NA,NA,NA
117,DS4032,3,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA
118,DS4032,4,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,NA
119,DS4032,5,NA,NA,165,NA,NA,NA,NA,NA,NA,NA,NA
120,DS4033,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,DS4033,2,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,DS4033,3,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA
123,DS4033,4,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,DS4034,2,NA,200,100,NA,50,NA,NA,NA,NA,NA,NA
125,DS4034,3,NA,100,50,NA,50,NA,NA,NA,NA,NA,NA
126,DS4034,4,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,DS4035,1,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA
128,DS4035,2,50,75,75,NA,NA,NA,NA,NA,NA,NA,NA
129,DS4035,3,NA,75,NA,NA,100,NA,NA,NA,NA,NA,NA
130,DS4035,4,NA,50,NA,50,NA,NA,NA,NA,NA,NA,NA
131,DS4036,1,NA,200,50,NA,NA,NA,NA,NA,NA,NA,NA
132,DS4036,2,232,NA,NA,NA,NA,NA,58,100,NA,NA,NA
133,DS4036,3,NA,100,50,NA,NA,NA,NA,116,NA,NA,NA
134,DS4036,4,NA,116,NA,NA,NA,NA,58,50,NA,NA,NA
135,DS4037,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,DS4037,2,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA
137,DS4037,3,NA,50,NA,NA,50,NA,NA,NA,NA,NA,NA
138,DS4037,4,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,DS4037,5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,DS4038,1,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,DS4038,2,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA
142,DS4038,3,NA,NA,NA,175,NA,NA,NA,NA,NA,NA,NA
143,DS4038,4,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
144,DS4038,5,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,DS4039,1,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA
146,DS4039,2,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
147,DS4039,3,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
148,DS4039,4,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA
149,DS4039,5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,DS4040,1,NA,100,NA,NA,50,NA,NA,NA,NA,NA,NA
151,DS4040,2,NA,125,50,NA,50,NA,NA,NA,NA,NA,NA
152,DS4040,3,NA,100,100,NA,100,NA,NA,NA,NA,NA,NA
153,DS4040,4,NA,75,NA,NA,60,NA,NA,NA,NA,NA,NA
154,DS4040,5,NA,227.2727273,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,DS4041,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,DS4041,2,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,DS4041,3,NA,50,75,NA,75,NA,NA,NA,NA,NA,NA
158,DS4041,4,NA,50,75,NA,75,NA,NA,NA,NA,NA,NA
159,DS4041,5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,DS4042,1,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA
161,DS4042,2,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA
162,DS4042,3,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,DS4042,4,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,DS4044,1,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,DS4044,3,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA
166,DS4044,4,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
167,DS4045,1,NA,100,50,NA,50,NA,NA,NA,NA,NA,NA
168,DS4045,2,NA,100,50,NA,50,NA,NA,NA,NA,NA,NA
169,DS4045,3,NA,75,75,NA,50,NA,NA,NA,NA,NA,NA
170,DS4045,4,NA,75,25,NA,25,NA,NA,NA,NA,NA,NA
171,DS4045,5,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,DS4046,1,NA,100,NA,NA,NA,NA,NA,NA,20,NA,NA
173,DS4046,2,NA,100,50,NA,50,NA,NA,NA,NA,NA,NA
174,DS4046,3,NA,50,50,NA,50,NA,NA,NA,NA,NA,NA
175,DS4046,4,NA,58,50,NA,NA,NA,NA,NA,NA,NA,NA
176,DS4046,5,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,DS4047,2,NA,50,NA,NA,50,NA,NA,NA,NA,NA,NA
178,DS4047,3,NA,100,NA,NA,50,NA,NA,NA,25,NA,NA
179,DS4047,4,NA,50,50,NA,50,NA,NA,NA,NA,NA,NA
180,DS4047,5,NA,50,50,NA,50,NA,NA,NA,NA,NA,NA
181,DS4048,1,100,100,NA,NA,NA,NA,NA,100,NA,NA,NA
182,DS4048,2,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,DS4048,3,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,DS4048,4,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA
185,DS4048,5,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,DS4050,1,100,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,DS4050,2,100,50,NA,NA,50,NA,NA,NA,NA,NA,NA
188,DS4050,3,NA,150,NA,NA,50,NA,NA,NA,NA,NA,NA
189,DS4050,4,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,DS4050,5,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,DS4051,1,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,DS4051,4,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA
193,DS4052,3,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
194,DS4053,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,DS4053,2,150,150,150,NA,150,NA,NA,NA,NA,NA,NA
196,DS4053,3,NA,75,50,NA,50,NA,NA,NA,NA,NA,NA
197,DS4053,4,NA,100,50,NA,NA,NA,NA,NA,NA,NA,NA
198,DS4053,5,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,DS4054,1,NA,100,50,NA,50,NA,NA,NA,NA,NA,NA
200,DS4054,2,NA,150,50,NA,NA,NA,NA,NA,50,NA,NA
201,DS4054,3,NA,75,25,NA,25,NA,NA,NA,NA,NA,NA
202,DS4054,4,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,DS4054,5,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,DS4055,1,NA,50,NA,NA,50,NA,NA,NA,NA,NA,50
205,DS4055,2,NA,NA,NA,NA,75,NA,100,75,NA,NA,NA
206,DS4055,3,NA,100,50,NA,NA,NA,NA,50,NA,NA,NA
207,DS4055,4,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,DS4056,1,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
209,DS4056,2,NA,100,100,NA,100,NA,NA,NA,NA,NA,NA
210,DS4056,3,NA,NA,100,NA,NA,100,NA,50,NA,NA,NA
211,DS4056,4,NA,NA,NA,NA,NA,100,NA,50,NA,NA,NA
212,DS4056,5,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA
213,DS4057,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,DS4057,2,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,DS4057,3,NA,150,50,NA,NA,NA,NA,NA,NA,NA,NA
216,DS4057,4,NA,50,50,NA,NA,NA,NA,NA,NA,NA,NA
217,DS4057,5,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,DS4058,1,NA,100,NA,NA,50,NA,NA,NA,NA,NA,NA
219,DS4058,2,NA,100,150,NA,50,NA,NA,NA,NA,NA,NA
220,DS4058,3,NA,100,50,NA,50,NA,NA,NA,NA,NA,NA
221,DS4058,4,NA,50,25,NA,50,NA,NA,NA,NA,NA,NA
222,DS4111,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,DS4111,2,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,DS4111,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA
225,DS4111,5,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
226,ES1001,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,ES1001,5,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
228,ES1002,1,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,ES1002,2,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA
230,ES1002,3,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
231,ES1002,4,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA
232,ES1004,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,ES1004,2,150,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
234,ES1004,3,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,ES1005,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,ES1005,2,100,50,NA,NA,50,NA,NA,NA,100,NA,NA
