a10,g7_1,a12,insumo_num,Marca_1,Marca_2,Marca_3,Marca_4,Marca_5,Tipo_Fertilizacion_1,Tipo_Fertilizacion_2,Tipo_Fertilizacion_3,Tipo_Fertilizacion_4,Tipo_Fertilizacion_5,Tipo_Nivel_2_1,Tipo_Nivel_2_2,Tipo_Nivel_2_3,Tipo_Nivel_2_4,Tipo_Nivel_2_5,_merge,a11,a12a,a13,ax_2,f4_1,f5_1,g10_1,g10_2,g10_3,g10_4,g10_5,g12_1_1,g12_1_2,g12_1_3,g12_1_4,g12_1_5,g12_c_1,g12_c_2,g12_c_3,g12_c_4,g12_c_5,g12_u_1,g12_u_2,g12_u_3,g12_u_4,g12_u_5,g12_ua_1,g12_ua_2,g12_ua_3,g12_ua_4,g12_ua_5,g9_1,g9_2,g9_3,g9_4,g9_5,id_lote_g6,row,g10_c,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,cantidad_litros_ha,cantidad_kilos_ha,Tipo_Nivel_0,Tipo_Nivel_1
RS3047,4,AMBALEMA,2,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,urea,tercer estado,,,,50.0,50.0,,,,10.0,2.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,3,4,AGRO TERCER ESTADO 24-0-17,,,,,,,,100.0,,
RS3047,5,AMBALEMA,1,ADAMA,AMISTAR TOP,,COSMOCEL,,Agroquimico,Agroquimico,,Fertilizacion foliar,,Agroquimico,Agroquimico,,Fertilizante quimico,,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,nilo,amistar top,carbendazil,fosfacel,cosmocel,150.0,,,,,,,,1.0,1.0,Litros,Litros,Litros,Kilos,Kilos,centimetros,,,,,1.0,2.0,3.0,4.0,5.0,3,5,Nilo 300 SC,0.0,0.0,0.0,0.0,0.0,0.0,,,Insecticida,Agroquimico
RS3047,5,AMBALEMA,2,ADAMA,AMISTAR TOP,,COSMOCEL,,Agroquimico,Agroquimico,,Fertilizacion foliar,,Agroquimico,Agroquimico,,Fertilizante quimico,,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,nilo,amistar top,carbendazil,fosfacel,cosmocel,150.0,,,,,,,,1.0,1.0,Litros,Litros,Litros,Kilos,Kilos,centimetros,,,,,1.0,2.0,3.0,4.0,5.0,3,5,Amistar Top,0.0,0.0,0.0,0.0,0.0,0.0,,,Fungicida,Agroquimico
RS3047,5,AMBALEMA,3,ADAMA,AMISTAR TOP,,COSMOCEL,,Agroquimico,Agroquimico,,Fertilizacion foliar,,Agroquimico,Agroquimico,,Fertilizante quimico,,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,nilo,amistar top,carbendazil,fosfacel,cosmocel,150.0,,,,,,,,1.0,1.0,Litros,Litros,Litros,Kilos,Kilos,centimetros,,,,,1.0,2.0,3.0,4.0,5.0,3,5,Carbendazim,,,,,,,,,,
RS3047,5,AMBALEMA,4,ADAMA,AMISTAR TOP,,COSMOCEL,,Agroquimico,Agroquimico,,Fertilizacion foliar,,Agroquimico,Agroquimico,,Fertilizante quimico,,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,nilo,amistar top,carbendazil,fosfacel,cosmocel,150.0,,,,,,,,1.0,1.0,Litros,Litros,Litros,Kilos,Kilos,centimetros,,,,,1.0,2.0,3.0,4.0,5.0,3,5,Fosfacel-800,0.0,0.0,0.0,0.0,0.0,55.5,,1.0,Fertilizante foliar,Fertilizante quimico
RS3047,5,AMBALEMA,5,ADAMA,AMISTAR TOP,,COSMOCEL,,Agroquimico,Agroquimico,,Fertilizacion foliar,,Agroquimico,Agroquimico,,Fertilizante quimico,,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,nilo,amistar top,carbendazil,fosfacel,cosmocel,150.0,,,,,,,,1.0,1.0,Litros,Litros,Litros,Kilos,Kilos,centimetros,,,,,1.0,2.0,3.0,4.0,5.0,3,5,Cosmocel,,,,,,,,1.0,,
RS3047,6,AMBALEMA,1,HALCON COLOMBIA,,AMISTAR TOP,,COSMOAGRO,Fertilizacion foliar,,Agroquimico,,Agroquimico,Fertilizante quimico,,Agroquimico,,Agroquimico,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,formador 2000,terramin potacio,amistar,carbendazil,inex,,,,,,,,,,,Litros,Litros,Litros,Litros,Litros,,,,,no,1.0,2.0,3.0,4.0,5.0,3,6,Formador 2000,10.71,5.14,1.0,3.07,1.07,14.29,,,Fertilizante foliar,Fertilizante quimico
RS3047,6,AMBALEMA,2,HALCON COLOMBIA,,AMISTAR TOP,,COSMOAGRO,Fertilizacion foliar,,Agroquimico,,Agroquimico,Fertilizante quimico,,Agroquimico,,Agroquimico,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,formador 2000,terramin potacio,amistar,carbendazil,inex,,,,,,,,,,,Litros,Litros,Litros,Litros,Litros,,,,,no,1.0,2.0,3.0,4.0,5.0,3,6,Terramin Potasio,,,,,,,,,,
RS3047,6,AMBALEMA,3,HALCON COLOMBIA,,AMISTAR TOP,,COSMOAGRO,Fertilizacion foliar,,Agroquimico,,Agroquimico,Fertilizante quimico,,Agroquimico,,Agroquimico,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,formador 2000,terramin potacio,amistar,carbendazil,inex,,,,,,,,,,,Litros,Litros,Litros,Litros,Litros,,,,,no,1.0,2.0,3.0,4.0,5.0,3,6,Amistar Top,0.0,0.0,0.0,0.0,0.0,0.0,,,Fungicida,Agroquimico
RS3047,6,AMBALEMA,4,HALCON COLOMBIA,,AMISTAR TOP,,COSMOAGRO,Fertilizacion foliar,,Agroquimico,,Agroquimico,Fertilizante quimico,,Agroquimico,,Agroquimico,Matched (3),Tolima,,73030008,tres esquinas parcela tres,Cálida ,5.0,formador 2000,terramin potacio,amistar,carbendazil,inex,,,,,,,,,,,Litros,Litros,Litros,Litros,Litros,,,,,no,1.0,2.0,3.0,4.0,5.0,3,6,Carbendazim,,,,,,,,,,
